Entity,Code,Year,number_nondem_bmr_owid,number_dem_bmr_owid
Africa,,1926,4,0
Africa,,1927,4,0
Africa,,1928,4,0
Africa,,1929,4,0
Africa,,1930,4,0
Africa,,1931,4,0
Africa,,1932,4,0
Africa,,1933,4,0
Africa,,1934,4,0
Africa,,1935,3,0
Africa,,1936,3,0
Africa,,1937,3,0
Africa,,1938,3,0
Africa,,1939,3,0
Africa,,1940,3,0
Africa,,1941,3,0
Africa,,1942,4,0
Africa,,1943,4,0
Africa,,1944,4,0
Africa,,1945,4,0
Africa,,1946,4,0
Africa,,1947,4,0
Africa,,1948,4,0
Africa,,1949,4,0
Africa,,1950,4,0
Africa,,1951,5,0
Africa,,1952,5,0
Africa,,1953,5,0
Africa,,1954,5,0
Africa,,1955,5,0
Africa,,1956,7,1
Africa,,1957,8,1
Africa,,1958,10,0
Africa,,1959,10,0
Africa,,1960,24,3
Africa,,1961,25,4
Africa,,1962,29,4
Africa,,1963,31,3
Africa,,1964,33,3
Africa,,1965,34,4
Africa,,1966,36,4
Africa,,1967,37,3
Africa,,1968,39,4
Africa,,1969,41,2
Africa,,1970,40,3
Africa,,1971,40,3
Africa,,1972,40,3
Africa,,1973,40,3
Africa,,1974,41,3
Africa,,1975,45,3
Africa,,1976,47,3
Africa,,1977,48,3
Africa,,1978,48,3
Africa,,1979,46,5
Africa,,1980,45,6
Africa,,1981,46,5
Africa,,1982,46,5
Africa,,1983,47,4
Africa,,1984,47,4
Africa,,1985,48,3
Africa,,1986,47,4
Africa,,1987,47,4
Africa,,1988,47,4
Africa,,1989,48,3
Africa,,1990,49,3
Africa,,1991,46,6
Africa,,1992,45,7
Africa,,1993,43,10
Africa,,1994,40,13
Africa,,1995,40,13
Africa,,1996,41,12
Africa,,1997,40,13
Africa,,1998,41,12
Africa,,1999,40,13
Africa,,2000,39,14
Africa,,2001,39,14
Africa,,2002,36,17
Africa,,2003,37,16
Africa,,2004,38,15
Africa,,2005,37,16
Africa,,2006,35,18
Africa,,2007,35,18
Africa,,2008,34,19
Africa,,2009,36,17
Africa,,2010,36,17
Africa,,2011,35,18
Africa,,2012,37,17
Africa,,2013,37,17
Africa,,2014,36,17
Africa,,2015,35,18
Africa,,2016,34,19
Africa,,2017,33,20
Africa,,2018,34,19
Africa,,2019,33,20
Africa,,2020,33,20
Asia,,1800,9,0
Asia,,1801,9,0
Asia,,1802,9,0
Asia,,1803,9,0
Asia,,1804,9,0
Asia,,1805,9,0
Asia,,1806,9,0
Asia,,1807,9,0
Asia,,1808,9,0
Asia,,1809,9,0
Asia,,1810,9,0
Asia,,1811,9,0
Asia,,1812,9,0
Asia,,1813,9,0
Asia,,1814,9,0
Asia,,1815,9,0
Asia,,1816,9,0
Asia,,1817,9,0
Asia,,1818,9,0
Asia,,1819,9,0
Asia,,1820,9,0
Asia,,1821,9,0
Asia,,1822,9,0
Asia,,1823,9,0
Asia,,1824,9,0
Asia,,1825,9,0
Asia,,1826,9,0
Asia,,1827,9,0
Asia,,1828,9,0
Asia,,1829,9,0
Asia,,1830,9,0
Asia,,1831,9,0
Asia,,1832,9,0
Asia,,1833,9,0
Asia,,1834,9,0
Asia,,1835,9,0
Asia,,1836,9,0
Asia,,1837,9,0
Asia,,1838,9,0
Asia,,1839,9,0
Asia,,1840,9,0
Asia,,1841,9,0
Asia,,1842,9,0
Asia,,1843,9,0
Asia,,1844,9,0
Asia,,1845,9,0
Asia,,1846,9,0
Asia,,1847,9,0
Asia,,1848,9,0
Asia,,1849,9,0
Asia,,1850,9,0
Asia,,1851,9,0
Asia,,1852,9,0
Asia,,1853,9,0
Asia,,1854,9,0
Asia,,1855,9,0
Asia,,1856,9,0
Asia,,1857,9,0
Asia,,1858,8,0
Asia,,1859,8,0
Asia,,1860,7,0
Asia,,1861,7,0
Asia,,1862,8,0
Asia,,1863,8,0
Asia,,1864,8,0
Asia,,1865,8,0
Asia,,1866,8,0
Asia,,1867,8,0
Asia,,1868,9,0
Asia,,1869,9,0
Asia,,1870,9,0
Asia,,1871,9,0
Asia,,1872,9,0
Asia,,1873,9,0
Asia,,1874,9,0
Asia,,1875,9,0
Asia,,1876,9,0
Asia,,1877,9,0
Asia,,1878,9,0
Asia,,1879,9,0
Asia,,1880,9,0
Asia,,1881,9,0
Asia,,1882,9,0
Asia,,1883,9,0
Asia,,1884,9,0
Asia,,1885,9,0
Asia,,1886,9,0
Asia,,1887,9,0
Asia,,1888,9,0
Asia,,1889,9,0
Asia,,1890,9,0
Asia,,1891,9,0
Asia,,1892,9,0
Asia,,1893,9,0
Asia,,1894,9,0
Asia,,1895,9,0
Asia,,1896,9,0
Asia,,1897,9,0
Asia,,1898,9,0
Asia,,1899,9,0
Asia,,1900,9,0
Asia,,1901,9,0
Asia,,1902,9,0
Asia,,1903,9,0
Asia,,1904,9,0
Asia,,1905,9,0
Asia,,1906,8,0
Asia,,1907,9,0
Asia,,1908,9,0
Asia,,1909,9,0
Asia,,1910,9,0
Asia,,1911,7,0
Asia,,1912,8,0
Asia,,1913,7,0
Asia,,1914,8,0
Asia,,1915,8,0
Asia,,1916,8,0
Asia,,1917,8,0
Asia,,1918,9,0
Asia,,1919,8,0
Asia,,1920,8,0
Asia,,1921,8,0
Asia,,1922,8,0
Asia,,1923,9,0
Asia,,1924,10,0
Asia,,1925,11,0
Asia,,1926,12,0
Asia,,1927,12,0
Asia,,1928,12,0
Asia,,1929,12,0
Asia,,1930,12,0
Asia,,1931,12,0
Asia,,1932,12,0
Asia,,1933,12,0
Asia,,1934,12,0
Asia,,1935,14,0
Asia,,1936,14,0
Asia,,1937,14,0
Asia,,1938,14,0
Asia,,1939,13,0
Asia,,1940,13,0
Asia,,1941,11,0
Asia,,1942,12,0
Asia,,1943,13,0
Asia,,1944,14,0
Asia,,1945,15,0
Asia,,1946,15,1
Asia,,1947,16,1
Asia,,1948,19,4
Asia,,1949,20,4
Asia,,1950,20,6
Asia,,1951,20,6
Asia,,1952,19,7
Asia,,1953,19,7
Asia,,1954,20,8
Asia,,1955,21,9
Asia,,1956,22,8
Asia,,1957,24,7
Asia,,1958,25,6
Asia,,1959,26,5
Asia,,1960,24,7
Asia,,1961,25,7
Asia,,1962,26,6
Asia,,1963,26,6
Asia,,1964,26,6
Asia,,1965,28,5
Asia,,1966,29,5
Asia,,1967,30,5
Asia,,1968,30,5
Asia,,1969,30,5
Asia,,1970,29,5
Asia,,1971,32,6
Asia,,1972,32,7
Asia,,1973,32,7
Asia,,1974,32,7
Asia,,1975,30,8
Asia,,1976,31,6
Asia,,1977,33,4
Asia,,1978,33,4
Asia,,1979,33,4
Asia,,1980,34,3
Asia,,1981,34,3
Asia,,1982,34,3
Asia,,1983,32,5
Asia,,1984,32,5
Asia,,1985,33,5
Asia,,1986,32,6
Asia,,1987,32,6
Asia,,1988,30,8
Asia,,1989,30,8
Asia,,1990,29,9
Asia,,1991,36,10
Asia,,1992,35,11
Asia,,1993,35,11
Asia,,1994,34,12
Asia,,1995,34,12
Asia,,1996,33,13
Asia,,1997,33,13
Asia,,1998,33,13
Asia,,1999,33,13
Asia,,2000,33,13
Asia,,2001,32,13
Asia,,2002,33,13
Asia,,2003,32,13
Asia,,2004,32,14
Asia,,2005,32,14
Asia,,2006,33,13
Asia,,2007,34,12
Asia,,2008,32,14
Asia,,2009,31,16
Asia,,2010,32,15
Asia,,2011,31,16
Asia,,2012,32,15
Asia,,2013,32,15
Asia,,2014,34,13
Asia,,2015,32,14
Asia,,2016,33,13
Asia,,2017,34,12
Asia,,2018,33,13
Asia,,2019,33,13
Asia,,2020,33,13
Europe,,1800,12,0
Europe,,1801,12,0
Europe,,1802,12,0
Europe,,1803,12,0
Europe,,1804,12,0
Europe,,1805,12,0
Europe,,1806,13,0
Europe,,1807,12,0
Europe,,1808,11,0
Europe,,1809,11,0
Europe,,1810,11,0
Europe,,1811,11,0
Europe,,1812,11,0
Europe,,1813,11,0
Europe,,1814,12,0
Europe,,1815,18,0
Europe,,1816,19,0
Europe,,1817,19,0
Europe,,1818,19,0
Europe,,1819,20,0
Europe,,1820,20,0
Europe,,1821,20,0
Europe,,1822,20,0
Europe,,1823,21,0
Europe,,1824,21,0
Europe,,1825,21,0
Europe,,1826,21,0
Europe,,1827,22,0
Europe,,1828,22,0
Europe,,1829,22,0
Europe,,1830,23,0
Europe,,1831,23,0
Europe,,1832,23,0
Europe,,1833,23,0
Europe,,1834,23,0
Europe,,1835,23,0
Europe,,1836,23,0
Europe,,1837,23,0
Europe,,1838,23,0
Europe,,1839,23,0
Europe,,1840,23,0
Europe,,1841,23,0
Europe,,1842,23,0
Europe,,1843,23,0
Europe,,1844,23,0
Europe,,1845,23,0
Europe,,1846,23,0
Europe,,1847,23,0
Europe,,1848,21,2
Europe,,1849,21,2
Europe,,1850,22,2
Europe,,1851,22,2
Europe,,1852,23,1
Europe,,1853,23,1
Europe,,1854,23,1
Europe,,1855,23,1
Europe,,1856,23,1
Europe,,1857,23,1
Europe,,1858,23,1
Europe,,1859,24,1
Europe,,1860,24,1
Europe,,1861,20,1
Europe,,1862,19,1
Europe,,1863,19,1
Europe,,1864,19,2
Europe,,1865,19,2
Europe,,1866,19,2
Europe,,1867,21,2
Europe,,1868,21,2
Europe,,1869,21,2
Europe,,1870,21,2
Europe,,1871,19,3
Europe,,1872,15,3
